NE ID;END ID;TIPO TOP
MCAS01;SPCAS_0055; NÃO TOP
MCAS02;SPCAS_0055; NÃO TOP
MRPO01;SPRPO_0011; NÃO TOP
MSTS01;SPSTS_0047; NÃO TOP
MSPO03;SPSPO_0447; NÃO TOP
MSPO04;SPSPO_0447; NÃO TOP
MSPO02;SPSPO_0022; NÃO TOP
MSPO05;SPSPO_0022; NÃO TOP
GSPO02;SPSPO_0022; NÃO TOP
MSNE01;SPSNE_0020; NÃO TOP
AAAN01;SPAAS_0001;TOP
AAAN02;SPAAS_0002;TOP
AACT01;SPAAS_0003;NÃO TOP
AAJA01;SPAAS_0004;TOP
AAJB01;SPAAS_0005;TOP
AAPA01;SPAAS_0006;TOP
ABAP01;SPARC_0007;TOP
ABCT01;SPARC_0001;NÃO TOP
ABJP01;SPARC_0002;NÃO TOP
ABJS01;SPARC_0003;TOP
ABMC01;SPARC_0004;NÃO TOP
ABNY01;SPARC_0005;TOP
ABRD01;SPARC_0006;NÃO TOP
ABTR01;SPARC_0008;TOP
ACAC01;SPASI_0001;NÃO TOP
ACEU01;SPASI_0004;TOP
ACRD01;SPASI_0002;TOP
ACVR01;SPASI_0003;NÃO TOP
ADMC01;SPAGL_0001;TOP
ADMM01;SPAGL_0002;NÃO TOP
AECT01;SPARL_0001;NÃO TOP
AERD01;SPARL_0002;NÃO TOP
AGCT01;SPAGS_0001;TOP
AHCT01;SPAAI_0001;NÃO TOP
AHRD01;SPAAI_0002;TOP
AHRD02;SPAAI_0003;TOP
AIFC01;SPALAM0001;TOP
AJDI01;SPAUJ_0001;TOP
AJFR02;SPAUJ_0002;NÃO TOP
AJJJ01;SPAUJ_0003;TOP
AJJS01;SPAUJ_0004;NÃO TOP
AJRB01;SPAUJ_0005;NÃO TOP
AKCT01;SPSTAR0001;NÃO TOP
ALSN01;SPAMIO0002;NÃO TOP
AMCT01;SPAMR_0001;TOP
AMJL01;SPAMR_0003;TOP
AMJM01;SPAMR_0004;TOP
AMPN01;SPAMR_0005;NÃO TOP
AMSL01;SPAMR_0006;TOP
AMSP01;SPAMR_0007;NÃO TOP
ANCT01;SPAGA_0001;NÃO TOP
ANRD01;SPAGA_0002;TOP
AOCT01;SPARO_0001;NÃO TOP
AOJA02;SPARO_0013;NÃO TOP
AORD01;SPARO_0003;NÃO TOP
AORD02;SPARO_0004;NÃO TOP
APCT01;SPADA_0001;NÃO TOP
APIT01;SPADA_0002;TOP
AQCT01;SPARQ_0001;NÃO TOP
AQCT02;SPARQ_0009;NÃO TOP
AQDI02;SPARQ_0002; NÃO TOP
AQJA01;SPARQ_0003;NÃO TOP
AQJE01;SPARQ_0004; NÃO TOP
